unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HGBJA;janeiro;2021;I;0 a 4;4,00;0;0;0,00
HGBJA;janeiro;2021;II;5 a 9;8,00;4;0;0,32
HGBJA;janeiro;2021;III;10 a 14;15,00;5;2;0,75
HGBJA;janeiro;2021;IV;15 a 19;25,00;10;2;2,50
HGBJA;janeiro;2021;V;20 a 24;40,00;3;1;1,20
HGBJA;janeiro;2021;VI;25 a 29;55,00;2;2;1,10
HGBJA;janeiro;2021;VII;30 a 34;75,00;0;0;0,00
HGBJA;janeiro;2021;VIII;> 34;85,00;0;0;0,00
HGBJA;fevereiro;2021;I;0 a 4;4,00;0;0;0,00
HGBJA;fevereiro;2021;II;5 a 9;8,00;3;0;0,24
HGBJA;fevereiro;2021;III;10 a 14;15,00;6;0;0,90
HGBJA;fevereiro;2021;IV;15 a 19;25,00;11;2;2,75
HGBJA;fevereiro;2021;V;20 a 24;40,00;2;0;0,80
HGBJA;fevereiro;2021;VI;25 a 29;55,00;3;1;1,65
HGBJA;fevereiro;2021;VII;30 a 34;75,00;3;3;2,25
HGBJA;fevereiro;2021;VIII;> 34;85,00;1;0;0,85
HGBJA;março;2021;I;0 a 4;4,00;0;0;0,00
HGBJA;março;2021;II;5 a 9;8,00;2;0;0,16
HGBJA;março;2021;III;10 a 14;15,00;1;0;0,15
HGBJA;março;2021;IV;15 a 19;25,00;7;1;1,75
HGBJA;março;2021;V;20 a 24;40,00;8;3;3,20
HGBJA;março;2021;VI;25 a 29;55,00;4;2;2,20
HGBJA;março;2021;VII;30 a 34;75,00;0;0;0,00
HGBJA;março;2021;VIII;> 34;85,00;0;0;0,00
HGBJA;abril;2021;I;0 a 4;4,00;0;0;0,00
HGBJA;abril;2021;II;5 a 9;8,00;4;0;0,32
HGBJA;abril;2021;III;10 a 14;15,00;9;0;1,35
HGBJA;abril;2021;IV;15 a 19;25,00;8;1;2,00
HGBJA;abril;2021;V;20 a 24;40,00;4;2;1,60
HGBJA;abril;2021;VI;25 a 29;55,00;6;5;3,30
HGBJA;abril;2021;VII;30 a 34;75,00;2;1;1,50
HGBJA;abril;2021;VIII;> 34;85,00;1;1;0,85
HGBJA;maio;2021;I;0 a 4;4,00;0;0;0,00
HGBJA;maio;2021;II;5 a 9;8,00;2;0;0,16
HGBJA;maio;2021;III;10 a 14;15,00;3;0;0,45
HGBJA;maio;2021;IV;15 a 19;25,00;13;3;3,25
HGBJA;maio;2021;V;20 a 24;40,00;3;1;1,20
HGBJA;maio;2021;VI;25 a 29;55,00;4;1;2,20
HGBJA;maio;2021;VII;30 a 34;75,00;1;0;0,75
HGBJA;maio;2021;VIII;> 34;85,00;0;0;0,00
HGBJA;junho;2021;I;0 a 4;4,00;0;0;0,00
HGBJA;junho;2021;II;5 a 9;8,00;1;0;0,08
HGBJA;junho;2021;III;10 a 14;15,00;4;1;0,60
HGBJA;junho;2021;IV;15 a 19;25,00;5;0;1,25
HGBJA;junho;2021;V;20 a 24;40,00;1;1;0,40
HGBJA;junho;2021;VI;25 a 29;55,00;6;4;3,30
HGBJA;junho;2021;VII;30 a 34;75,00;1;1;0,75
HGBJA;junho;2021;VIII;> 34;85,00;1;1;0,85
HGBJA;julho;2021;I;0 a 4;4,00;0;0;0,00
HGBJA;julho;2021;II;5 a 9;8,00;1;0;0,08
HGBJA;julho;2021;III;10 a 14;15,00;2;1;0,30
HGBJA;julho;2021;IV;15 a 19;25,00;7;1;1,75
HGBJA;julho;2021;V;20 a 24;40,00;9;4;3,60
HGBJA;julho;2021;VI;25 a 29;55,00;2;0;1,10
HGBJA;julho;2021;VII;30 a 34;75,00;0;0;0,00
HGBJA;julho;2021;VIII;> 34;85,00;2;2;1,70
HGBJA;agosto;2021;I;0 a 4;4,00;0;0;0,00
HGBJA;agosto;2021;II;5 a 9;8,00;1;0;0,08
HGBJA;agosto;2021;III;10 a 14;15,00;6;0;0,90
HGBJA;agosto;2021;IV;15 a 19;25,00;6;1;1,50
HGBJA;agosto;2021;V;20 a 24;40,00;6;2;2,40
HGBJA;agosto;2021;VI;25 a 29;55,00;1;1;0,55
HGBJA;agosto;2021;VII;30 a 34;75,00;1;0;0,75
HGBJA;agosto;2021;VIII;> 34;85,00;2;1;1,70
HGBJA;setembro;2021;I;0 a 4;4,00;0;0;0,00
HGBJA;setembro;2021;II;5 a 9;8,00;2;0;0,16
HGBJA;setembro;2021;III;10 a 14;15,00;4;0;0,60
HGBJA;setembro;2021;IV;15 a 19;25,00;6;0;1,50
HGBJA;setembro;2021;V;20 a 24;40,00;7;3;2,80
HGBJA;setembro;2021;VI;25 a 29;55,00;3;1;1,65
HGBJA;setembro;2021;VII;30 a 34;75,00;0;0;0,00
HGBJA;setembro;2021;VIII;> 34;85,00;1;1;0,85
HGBJA;outubro;2021;I;0 a 4;4,00;0;0;0,00
HGBJA;outubro;2021;II;5 a 9;8,00;1;0;0,08
HGBJA;outubro;2021;III;10 a 14;15,00;5;0;0,75
HGBJA;outubro;2021;IV;15 a 19;25,00;6;0;1,50
HGBJA;outubro;2021;V;20 a 24;40,00;12;2;4,80
HGBJA;outubro;2021;VI;25 a 29;55,00;5;3;2,75
HGBJA;outubro;2021;VII;30 a 34;75,00;4;3;3,00
HGBJA;outubro;2021;VIII;> 34;85,00;0;0;0,00
HGBJA;novembro;2021;I;0 a 4;4,00;0;0;0,00
HGBJA;novembro;2021;II;5 a 9;8,00;0;0;0,00
HGBJA;novembro;2021;III;10 a 14;15,00;4;1;0,60
HGBJA;novembro;2021;IV;15 a 19;25,00;5;1;1,25
HGBJA;novembro;2021;V;20 a 24;40,00;6;3;2,40
HGBJA;novembro;2021;VI;25 a 29;55,00;3;3;1,65
HGBJA;novembro;2021;VII;30 a 34;75,00;1;0;0,75
HGBJA;novembro;2021;VIII;> 34;85,00;2;2;1,70
HGBJA;dezembro;2021;I;0 a 4;4,00;1;0;0,04
HGBJA;dezembro;2021;II;5 a 9;8,00;2;1;0,16
HGBJA;dezembro;2021;III;10 a 14;15,00;6;1;0,90
HGBJA;dezembro;2021;IV;15 a 19;25,00;9;2;2,25
HGBJA;dezembro;2021;V;20 a 24;40,00;4;0;1,60
HGBJA;dezembro;2021;VI;25 a 29;55,00;2;2;1,10
HGBJA;dezembro;2021;VII;30 a 34;75,00;2;2;1,50
HGBJA;dezembro;2021;VIII;> 34;85,00;2;1;1,70
HJK;janeiro;2021;I;0 a 4;4,00;0;0;0,00
HJK;janeiro;2021;II;5 a 9;8,00;3;0;0,24
HJK;janeiro;2021;III;10 a 14;15,00;18;1;2,70
HJK;janeiro;2021;IV;15 a 19;25,00;15;1;3,75
HJK;janeiro;2021;V;20 a 24;40,00;3;0;1,20
HJK;janeiro;2021;VI;25 a 29;55,00;13;3;7,15
HJK;janeiro;2021;VII;30 a 34;75,00;5;3;3,75
HJK;janeiro;2021;VIII;> 34;85,00;4;4;3,40
HJK;fevereiro;2021;I;0 a 4;4,00;0;0;0,00
HJK;fevereiro;2021;II;5 a 9;8,00;5;0;0,40
HJK;fevereiro;2021;III;10 a 14;15,00;20;4;3,00
HJK;fevereiro;2021;IV;15 a 19;25,00;31;7;7,75
HJK;fevereiro;2021;V;20 a 24;40,00;10;1;4,00
HJK;fevereiro;2021;VI;25 a 29;55,00;15;5;8,25
HJK;fevereiro;2021;VII;30 a 34;75,00;8;5;6,00
HJK;fevereiro;2021;VIII;> 34;85,00;5;4;4,25
HJK;março;2021;I;0 a 4;4,00;1;0;0,04
HJK;março;2021;II;5 a 9;8,00;12;0;0,96
HJK;março;2021;III;10 a 14;15,00;25;6;3,75
HJK;março;2021;IV;15 a 19;25,00;36;11;9,00
HJK;março;2021;V;20 a 24;40,00;25;11;10,00
HJK;março;2021;VI;25 a 29;55,00;15;7;8,25
HJK;março;2021;VII;30 a 34;75,00;14;5;10,50
HJK;março;2021;VIII;> 34;85,00;12;6;10,20
HJK;abril;2021;I;0 a 4;4,00;2;0;0,08
HJK;abril;2021;II;5 a 9;8,00;12;2;0,96
HJK;abril;2021;III;10 a 14;15,00;21;2;3,15
HJK;abril;2021;IV;15 a 19;25,00;21;8;5,25
